CC,Campus Connector,25,,,,,,1,18,KINNEAR ROAD LOT,,,,,KINEAR,-83.03839546,39.99755448,,IB,18
CC,Campus Connector,25,,,,,,2,14,BLANKENSHIP HALL,,,,,,-83.0333371,40.00318163,,IB,14
CC,Campus Connector,25,,,,,,3,20,MID WEST CAMPUS (EB),,,,,AGEB,-83.02654072,40.00425107,,IB,20
CC,Campus Connector,25,,,,,,4,21,ST. JOHN EAST BOUND,,,,,,-83.02074406,40.00404785,,IB,21
CC,Campus Connector,25,,,,,,5,57,KNOWLTON HALL,,,,,KNWTN,-83.01614191,40.00397943,,IB,57
CC,Campus Connector,25,,,,,,6,58,FONTANA LAB,,,,,,-83.01319677,40.00383937,,IB,58
CC,Campus Connector,25,,,,,,7,59,STILLMAN HALL,,,,,STLMN,-83.01066042,40.00170599,,IB,59
CC,Campus Connector,25,,,,,,8,44,OHIO UNION (SB),,,,,OUSB,-83.00983103,39.99780974,,IB,44
CC,Campus Connector,25,,,,,,9,410,SIEBERT HALL,,,,,,-83.01207152,39.99550687,,IB,410
CC,Campus Connector,25,,,,,,10,41,MACK HALL,,,,,MACK,-83.01461958,39.99592366,,IB,41
CC,Campus Connector,25,,,,,,11,405,HERRICK TRANSIT HUB,,,,,THUB,-83.01811934,39.99756885,,IB,405
CC,Campus Connector,28,,,,,,1,501,MOUNT HALL LOOP,,,,,MNTHL,-83.03669135,40.00371481,,IB,501
CC,Campus Connector,28,,,,,,2,94,CARMACK 5 + STOP 1,,,,,,-83.04245428,40.00278085,,IB,94
CC,Campus Connector,28,,,,,,3,95,CARMACK 5 + STOP 2,,,,,CMCK5(2),-83.0411038,40.00289796,,IB,95
CC,Campus Connector,28,,,,,,4,15,AG RESEARCH CENTER,,,,,,-83.0427334,39.99861259,,IB,15
CC,Campus Connector,28,,,,,,5,18,KINNEAR ROAD LOT,,,,,KINEAR,-83.03839546,39.99755448,,IB,18
CC,Campus Connector,29,,,,,,1,501,MOUNT HALL LOOP,,,,,MNTHL,-83.03669135,40.00371481,,IB,501
